,circuit,n_qubits,depth,n_2q_gates,itensors_time,itensors_fidelity,quimb_time,quimb_fidelity,pytket-cutn_time,pytket-cutn_fidelity
356,TFIM_honeycomb_PBC_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=2_Lx=4_Ly=7.json,56,9,168,906.884402156,0.9430916273350134,2623.606661081314,nan,174.62465596199036,0.9427113770879103
357,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1176,oom,oom,,,1281.5773038864136,0.9999988469010592
358,TFIM_honeycomb_obc_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1022,1401.789128856,0.9887966564900992,4377.91624379158,nan,350.54122829437256,0.9887933481312347
359,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.3_n_trotter_steps=2_Lx=8_Ly=7.json,56,33,224,912.450476531,0.6234650386909939,,,214.84367108345032,0.6246705531982085
360,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,876,1270.209298861,0.9985879999687174,,,291.35478138923645,0.99858807309942
361,TFIM_honeycomb_PBC_Jz=1.0_hx=3.0_dt=0.5_n_trotter_steps=10_Lx=4_Ly=7.json,56,41,840,oom,oom,,,1064.5249400138855,1.1309714019381167e-06
362,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,292,55.967553411,0.9999999999998541,,,43.22993302345276,0.9999999999998299
363,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=8_Lx=4_Ly=7.json,56,33,584,851.180596413,0.06760262125029913,2321.8820040225983,nan,215.94025111198425,0.06788024137972315
364,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.1_n_trotter_steps=20_Lx=8_Ly=7.json,56,110,1940,oom,oom,,,1569.724173784256,0.5006280997978159
365,XZ_honeycomb_PBC_J=1_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7.json,56,87,2436,oom,oom,,,2854.699845790863,0.0015263979890464522
366,XZ_honeycomb_PBC_J=1_dt=0.1_n_trotter_steps=20_Lx=4_Ly=7.json,56,123,3444,oom,oom,,,3976.4008781909943,0.09350330235833912
367,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=18_Lx=4_Ly=7.json,56,73,1512,oom,oom,,,1657.939552783966,0.999998590432688
